"translateMiscellaneous2","translateMiscellaneous4","translateMiscellaneous6"
"weifT","gEvz","TQlv"
"swIk","tEfs","_Qft"
"friz","gwEl","lQNk"
"nund","blEn","nQl_"
"snaf","lENz","d{l_"
"w^pT","wEkt","d{n_"
"SeifT","TEmT","kl{f"
"tIst","stEz","kr{N"
"friz","jEks","S{zd"
"JunT","swEn","fr{n"
"flab","smEk","jVlv"
"w@vz","_Enz","zVgd"
"jeidz","TEzd","zVn_"
"TIfT","pEJt","rVlp"
"fliz","gEps","smVm"
"Jukt","JEJt","pVlf"
"falJ","_En_","preis"
"f@nJ","vEfs","steib"
"Sr^l","mEmp","veibd"
"flIv","twEJ","kreim"
"twiz","pEJt","sweig"
"nukt","skEs","deimT"
"naft","tEmf","TIn_"
"kw@g","TEmT","TIfT"
"T^ln","skEv","zInT"
"fleig","tEfs","SImp"
"prid","_E_d","SrIN"
"fjub","TrEn","JIft"
"gaks","_ElT","fliz"
"v@lT","snE_","friz"
"br^C","TwEb","griz"
"leigz","plEs","twiz"
"stIb","hEnd","friz"
"mubz","glEz","skri"
"Camd","pEpT","fru_"
"g@zd","dEnd","truv"
"T^ln","skEk","rund"
"heinz","brEl","nubd"
"hIsk","Elnd","smuv"
"Sriz","wEvz","nunt"
"d@lJ","neiJt","rQzd"
"fl^J","jeiTs","Qlfs"
"zefs","sneip","TQfT"
"grIf","zeimT","mQlf"
"skwi","weibz","slQf"
"nulz","neilt","fQlk"
"jamz","glein","dw{s"
"r^md","gweim","p{ft"
"drek","seifT","s{Jt"
"blIn","neinT","m{ft"
"friz","weibz","w{Jt"
"fluv","skeif","k{nJ"
"klas","dreit","mVNT"
"r@lt","leigz","TVSt"
"feGk","seilt","pVlf"
"tIst","kleif","TVls"
"Sriz","seibd","nVkt"
"junT","sweig","jVlk"
"maSt","heips","JEns"
"Sr@k","preis","gwEl"
"g^kt","nein_","swEs"
"kwIS","sneim","_Eft"
"griz","Tweit","wElf"
"fumz","kleid","nElz"
"jaGk","fleip","Ikst"
"v@dz","bleiJ","klIz"
"sn^m","peibz","klIz"
"selm","veibz","dwIf"
"friz","dreit","twIv"
"wumd","veiks","gIlJ"
"nafT","brei_","prid"
"kw@b","dweik","drid"
"k^lJ","seipt","briz"
"kweg","dreib","drid"
"SIdz","sneiz","fliz"
"bruk","feips","gliz"
"bran","neibz","twuf"
"kr@G","neilt","slut"
"r^mz","dreim","Subz"
"smek","dein_","suld"
"mIpt","smeiz","Tust"
"fliz","seipt","bruv"
"sp@b","nIdz","zQft"
"Sr^n","nIft","fQlk"
"gend","tITt","nQln"
"skeiJ","nIgz","TQlz"
"Sriz","zIfs","gQpt"
"guks","TwIn","vQnJ"
"ranT","glIf","kw{g"
"j^sk","gIns","w{nd"
"seGk","Ilbd","z{lf"
"seimT","sIlv","n{kt"
"skwi","rIlk","J{vz"
"bjuk","gITt","j{ft"
"vadz","SINT","flVl"
"fr@n","nIlk","kVn_"
"frep","zIn_","vVmT"
"feimz","bImf","twVg"
"skri","hInJ","hVkt"
"flub","nIns","glVn"
"palJ","pIlf","rEmT"
"dw@l","sIfT","nElz"
"S^zd","mIgz","fEkt"
"weips","snIS","nEgz"
"skwi","plId","zEld"
"puzd","zIgz","tEfs"
"galk","plIz","Sreiz"
"n@lk","kwIm","peigz"
"k^gz","nImT","fleip"
"Cept","bIgd","peikt"
"griz","frIJ","fleif"
"kwuT","dINk","veits"
"ranC","glIf","twiz"
"J@ln","sIgz","drid"
"kl^m","nIlT","griz"
"JelJ","fIfs","twiz"
"klein","kInz","fliz"
"drut","nIlm","pliz"
"hanC","pIsk","flud"
"gw@n","bImf","sumT"
"Sr^n","JIJt","fuzd"
"velm","gInt","kuks"
"leipT","gIlJ","prub"
"briz","wIvd","dwug"
"r@ld","prid","klQs"
"kw^k","fliz","hQnJ"
"kwem","briz","swQm"
"gweil","Sriz","jQnt"
"CIkt","gliz","nQNk"
"nuks","drid","fQnJ"
"jalz","fliz","T{zd"
"z^nJ","prid","w{nz"
"gelf","friz","n{nt"
"neipT","friz","p{n_"
"sIgz","skwi","t{ft"
"vuld","skwi","br{z"
"sask","gliz","fVlb"
"m@md","friz","gVfs"
"kwes","friz","Vlft"
"keimd","prid","TVpt"
"twIv","pliz","smVJ"
"fund","briz","Vlft"
"zagd","skri","jEks"
"n@kt","prid","gEks"
"^lft","prid","skEs"
"teimT","skri","nEJt"
"TwIp","twiz","nENk"
"buks","Trid","wEkt"
"kwaJ","briz","neilt"
"n@sk","friz","nei_d"
"sm^m","drid","sleim"
"bens","griz","kleiD"
"krIg","fliz","reifs"
"krum","pliz","jeimT"
"sask","skwi","blIb"
"n@Ts","briz","SIn_"
"z^nJ","Trid","rImT"
"kweT","twiz","gInd"
"tweif","pliz","fIJt"
"kunT","Sriz","lImT"
"falJ","briz","gjub"
"n@nz","drid","kruk"
"g^ls","gliz","Srut"
"JenJ","drid","Jumd"
"deild","fliz","wupT"
"gIkt","skwi","Sruk"
"w@lT","nupt","dQsk"
"h^kt","nuld","tQvz"
"elmd","fumT","smQS"
"Sreik","Twus","wQns"
"brIs","mups","mQSt"
"Sriz","kwuk","TQln"
"kram","sulz","n{dz"
"br^s","jups","k{st"
"dend","Tund","kw{b"
"beind","druJ","w{Jt"
"nIsp","Subz","p{ft"
"friz","gumd","h{sk"
"klal","hulz","nVns"
"kw@J","krum","zVgd"
"gref","njus","wVmT"
"dweis","pugd","dVpt"
"twIS","snub","SVps"
"friz","wudz","SVbz"
"smad","fruz","hEnd"
"m@ft","kumd","zEkt"
"z^st","runT","sEls"
"SeipT","lulz","zEmd"
"hIld","kruS","smEf"
"drid","kluS","gEfs"
"takt","kufs","Jeild"
"n@mp","sumz","kreim"
"g^lb","Sruk","weigz"
"kwem","Tubd","kleiz"
"nIsp","fjun","preig"
"gliz","druk","jeibz"
"naln","skud","krIn"
"w@ln","jumd","slIg"
"n^vz","fruv","hITs"
"pepT","krum","gIlJ"
"neizd","flu_","tIlk"
"Trid","muft","mIpt"
"maSt","fruk","griz"
"w@nd","kwud","briz"
"tr^m","frun","Sriz"
"kemf","bufs","drid"
"Tweiz","hunt","friz"
"rImT","vuTt","gliz"
