               V1 V2 V3 V4 V5    V6      V7 V8
1.57     16 16 16  1  .  . (B   dʒI     Ji-  .
1.58     16 16 16  0  .  . b)    mi    -mmy  .
1.59     16 16 16  1  .  .  .    In      in  .
1.60     16 16 16  0  .  .  .    ðə     the  .
1.61     16 16 16  1  .  . (B    sI     ci-  .
1.62      16 16 8  0  .  . b)    ti     -ty  .
1.63      16 8 16  0  .  .  .    əv      of  .
1.64      8 16 16  1  .  .  A  sɜks    sex.  .
1.65     16 16 16  0  .  3  .    wi      We  .
1.66      16 16 8  1  .  .  .    In      in  .
1.67       16 8 8  0  .  .  .   ðæt    that  .
1.69        8 8 8  1  .  .  .   sən    sun-  .
1.70       8 8 16  1  .  .  .  ʃaIn  -shine  .
1.71      8 16 16  1  .  .  . steIt   state  .
1.72     16 16 16  1  .  1  .   wɜr   where  .
1.73      16 16 8  0  .  .  .    ðə     the  .
1.74       16 8 8  1  .  .  .   bam    bomb  .
1.75       8 8 16  0  .  .  .    æs     ass  .
1.76      8 16 16  1  .  . (C  hɜmp    hemp  .
1.77     16 16 16  0  .  . c)    bi     be.  .
1.78      16 16 8  .  .  .  .     R       .  .
1.79      16 8 16  0  .  3  .    ðə     The  .
1.81      8 16 16  1  .  .  . steIt   state  .
1.82     16 16 16  1  .  .  .   wɜr   where  .
1.83     16 16 16  0  .  .  .    jə      ya  .
1.84     16 16 16  1  .  .  .    nɜ     ne-  .
1.85     16 16 16  0  .  .  .   vɜ˞    -ver  .
1.86     16 16 16  1  .  .  . faInd    find  .
1.87      16 16 8  0  .  .  .     ə       a  .
1.88       16 8 8  1  .  .  .  dæns   dance  .
1.89       8 8 16  0  .  .  . floʊr   floor  .
1.90      8 16 16  1  .  . (C   ɜmp    emp-  .
1.91     16 16 16  0  .  . c)    ti    -ty.  .
1.92      16 16 8  .  .  .  .     R       .  .
1.93      16 8 16  0  .  3  .   ænd     And  .
1.95      8 16 16  1  .  . (C pImps   pimps  .
1.96     16 16 16  0  .  . c)    bi      be  .
1.97     16 16 16  .  .  .  .     R       .  .
1.98     16 16 16  1  .  1  .    an      on  .
1.99     16 16 16  0  .  .  .     ə       a  .
1.100    16 16 16  1  .  .  .    mI     mi-  .
1.101     16 16 8  0  .  .  .   ʃən  -ssion  .
1.102     16 8 8.  1  .  .  .   fɜ˞     for  .
1.103     8 8. 16  0  .  .  .   ðɜm    them  .
1.104     8. 16 8  1  .  .  D grinz greens.  .
1.105      16 8 8  .  .  .  .     R       .  .
1.106      8 8 16  1  .  3  D   lin   :Lean  .
1.108     8 16 16  0  .  .  D   min    mean  .
1.109    16 16 16  1  .  .  .    mə     mo-  .
1.110    16 16 16  0  .  .  .    ni    -ney  .
1.111    16 16 16  1  .  .  .   meI     ma-  .
1.112     16 16 8  0  .  .  .   kIn   -kin'  .
1.113     16 8 16  0  .  .  .    mə     ma-  .
1.114     8 16 16  1  .  .  D  ʃinz -chines  .
1.115     16 16 8  1  .  2  .  sɜ˞v    ser-  .
1.116     16 8 16  0  .  .  .    In   -vin'  .
1.117     8 16 16  1  .  .  D findz fiends.  .
1.118    16 16 16  .  .  .  .     R       .  .
1.119    16 16 16  0  .  4  .    aI       I  .
1.121    16 16 16  1  .  .  .   bIn    been  .
1.122     16 16 8  0  .  .  .    In      in  .
1.123     16 8 16  0  .  .  .    ðə     the  .
1.124      8 16 8  1  .  .  .  geIm    game  .
1.125      16 8 8  0  .  .  .   fɜ˞     for  .
1.126      8 8 16  1  .  .  .   tɜn     ten  .
1.127     8 16 16  1  .  .  .  jirz   years  .
1.128     16 16 8  1  .  1  .   meI     ma-  .
1.129      16 8 4  0  .  .  .   kIn   -kin'  .
1.130       8 4 8  1  .  . (E   ræp     rap  .
1.131      4 8 16  1  .  . F)  tunz  tunes.  .
1.133     8 16 16  .  .  .  .     R       .  .
1.134    16 16 16  1  .  3  .     ɜ      E-  .
1.135    16 16 16  0  .  .  .   vɜ˞    -ver  .
1.136    16 16 16  0  .  .  .  sIns   since  .
1.137    16 16 16  1  .  .  .    hə     ho-  .
1.138    16 16 16  0  .  .  .   niz   -neys  .
1.139    16 16 16  0  .  .  .   wəz     was  .
1.140     16 16 8  1  .  .  .   wɜr   wear-  .
1.141      16 8 8  0  .  .  .    In    -in'  .
 [ reached 'max' / getOption("max.print") -- omitted 292 rows ]
